Z	Integral
6630	450196000
72541	260624100
209100	87557620
416150	17145470
693646	2146128
6630	442865700
72541	260119400
209100	87059200
416150	16693640
693646	1865650
6630	443691400
72541	261035900
209100	86845900
416150	16372180
693646	1527920
6630	442136300
72541	260547100
209100	87045300
416150	16539200
693646	1527544
6630	441700200
72541	260326500
209100	87294220
416150	16480180
693646	1501406
6630	440129100
72541	259816300
209100	87490640
416150	16750280
693646	1496390
6630	441680600
72541	260942500
209100	87840590
416150	16686220
693646	1529244
6630	439056100
72541	260612900
209100	87765170
416150	16767800
693646	1561685
6630	439765000
72541	261828400
209100	88125630
416150	16910430
693646	1413600
6630	440770600
72541	262393600
209100	87878140
416150	16772750
693646	1423976
6630	438865100
72541	260676900
209100	88170790
416150	16776710
693646	1334508
6630	438809600
72541	260251900
209100	88201550
416150	16831460
693646	1404299
6630	440521000
72541	260759900
209100	88528600
416150	16680710
693646	1407933
6630	440733600
72541	262211700
209100	88367120
416150	16751120
693646	1352363
6630	441345000
72541	261549100
209100	88527960
416150	16590900
693646	1234158
6630	439160200
72541	260906500
209100	88207170
416150	16669640
693646	1181344
6630	437330800
72541	260768200
209100	87910560
416150	16569870
693646	1117484
6630	439583800
72541	261170900
209100	88123700
416150	16585460
693646	1191263
6630	439782600
72541	260927600
209100	88264590
416150	16633170
693646	1103797
6630	439295600
72541	261855900
209100	88426880
416150	16565070
693646	1087024
6630	440871100
72541	260996100
209100	88686130
416150	16453320
693646	1073544
6630	438062200
72541	260469200
209100	88599860
416150	16590660
693646	1176467
6630	438907100
72541	261291800
209100	88990510
416150	16543730
693646	995662
6630	438154200
72541	260972500
209100	89141490
416150	16764040
693646	1091088
6630	439678900
72541	261424500
209100	88815090
416150	16774110
693646	1082786
6630	439575600
72541	262086400
209100	89132520
416150	16733870
693646	1085418
6630	438982800
72541	260941400
209100	89018570
416150	16914580
693646	1254997
6630	438122100
72541	261239600
209100	89143110
416150	16950460
693646	1059943
6630	439422500
72541	261352900
209100	89487600
416150	17051240
693646	1187303
6630	439610400
72541	261543700
209100	89572680
416150	17123790
693646	1159794
6630	438998500
72541	262293000
209100	89579150
416150	17068100
693646	1078093
6630	439826700
72541	262654400
209100	89788800
416150	17066640
693646	1197282
6630	439338500
72541	263228000
209100	90328510
416150	17177570
693646	1155348
6630	439457400
72541	260925100
209100	89570140
416150	17278110
693646	1228225
6630	438567200
72541	261990400
209100	90072060
416150	17167440
693646	1198436
6630	439533800
72541	262881600
209100	90184650
416150	17343590
693646	1026167
6630	434346500
72541	261423000
209100	90142070
416150	17248820
693646	1136758
6630	439246500
72541	262247400
209100	90194090
416150	17227450
693646	1164170
6630	435743800
72541	261756900
209100	89756730
416150	17262840
693646	1123188
6630	438567400
72541	262437400
209100	89936340
416150	17245860
693646	1034120
6630	437948800
72541	261641300
209100	90069060
416150	17340010
693646	1095639
6630	437282700
72541	261299000
209100	89815650
416150	17145600
693646	1134681
6630	436632900
72541	261472400
209100	90091490
416150	17130280
693646	1072569
6630	438173500
72541	261538100
209100	90185420
416150	17126200
693646	952090
6630	436749200
72541	260835000
209100	90137680
416150	17112090
693646	921869
6630	436319800
72541	261990300
209100	90126910
416150	17061280
693646	971304
6630	436730200
72541	261763200
209100	90188480
416150	17041790
693646	925553
6630	438358000
72541	262032800
209100	89926520
416150	17122180
693646	883178
6630	436465500
72541	261807000
209100	89943470
416150	16956790
693646	854772
6630	436355400
72541	261306700
209100	90008380
416150	16869360
693646	759032
6630	434342600
72541	261884100
209100	89712200
416150	16956530
693646	865937
6630	435621900
72541	259797400
209100	89610220
416150	16893380
693646	841593
6630	433747000
72541	260296200
209100	89835780
416150	16935090
693646	589365
6630	433565200
72541	259999200
209100	89847450
416150	16917460
693646	686634
6630	434887300
72541	260461200
209100	89544310
416150	16684280
693646	624529
6630	435591900
72541	260643900
209100	89631700
416150	16726520
693646	557010
6630	434324900
72541	260255900
209100	89704220
416150	16715060
693646	688791
6630	432860100
72541	260575700
209100	89851920
416150	16659200
693646	575126
6630	434961100
72541	260490000
209100	89734500
416150	16711700
693646	488089
6630	432963500
72541	259563900
209100	89938230
416150	16741750
693646	587419
6630	432913200
72541	261315400
209100	89810660
416150	16627670
693646	483275
6630	434128700
72541	261062100
209100	88851720
416150	16814360
693646	489074
6630	432549500
72541	259416100
209100	89530730
416150	16686060
693646	451302
6630	431484900
72541	259255000
209100	89549630
416150	16598520
693646	514229
6630	431663700
72541	258752200
209100	89281700
416150	16579560
693646	444758
6630	431869200
72541	259287100
209100	89410900
416150	16564580
693646	477662
6630	432207800
72541	259328000
209100	89271770
416150	16530070
693646	442069
6630	431142600
72541	260407500
209100	89297360
416150	16663150
693646	468550
6630	431665500
72541	258720100
209100	89514700
416150	16695630
693646	541937
6630	431070300
72541	258633600
209100	89622220
416150	16789120
693646	482988
6630	431278100
72541	259960600
209100	89555090
416150	16760520
693646	484045
6630	431367800
72541	260298600
209100	89934190
416150	16738090
693646	584585
6630	431696500
72541	259323500
209100	89670290
416150	16701060
693646	523319
6630	432669800
72541	259672100
209100	89534700
416150	16697580
693646	505176
6630	431514700
72541	259203300
209100	89799930
416150	16808780
693646	384628
6630	430878000
72541	259309700
209100	89620620
416150	16886880
693646	359312
6630	431767000
72541	259183400
209100	89654050
416150	16686340
693646	460354
6630	430289300
72541	259098800
209100	89692100
416150	16650640
693646	468606
6630	430283500
72541	259268800
209100	89553580
416150	16813560
693646	389683
6630	430555400
72541	259749200
209100	89638450
416150	16736200
693646	535927
6630	430360700
72541	258609800
209100	89707220
416150	16819010
693646	425425
6630	430704700
72541	259308400
209100	89685750
416150	16789310
693646	403355
6630	429920400
72541	259094300
209100	89770860
416150	16910960
693646	413055
6630	431265700
72541	258967800
209100	89795180
416150	16685100
693646	440954
6630	430418900
72541	259260500
209100	89671330
416150	16982730
693646	431787
6630	430152500
72541	259927700
209100	89645140
416150	16929860
693646	425522
6630	431247600
72541	259349300
209100	89774180
416150	16809130
693646	506252
6630	429833200
72541	259537300
209100	89902730
416150	17081490
693646	480042
6630	431349000
72541	259468000
209100	90018120
416150	16927200
693646	475681
6630	430480500
72541	259339200
209100	90044460
416150	16984700
693646	415969
6630	430331000
72541	259060900
209100	89978380
416150	16972900
693646	395092
6630	432048500
72541	259696800
209100	90285540
416150	17007800
693646	542565
6630	430746200
72541	259403200
209100	90251660
416150	16906790
693646	426800
6630	430265400
72541	259419200
209100	89834640
416150	16967530
693646	406156
6630	432169100
72541	259488400
209100	90013120
416150	17015900
693646	326277
6630	429863700
72541	258712400
209100	90245410
416150	16902870
693646	399005
6630	428837900
72541	258584600
209100	90213090
416150	16886250
693646	373779
6630	430129200
72541	258905800
209100	90008030
416150	16945120
693646	474950
6630	429501700
72541	258274800
209100	90290840
416150	16853890
693646	452971
6630	429488100
72541	259159400
209100	90139740
416150	16750120
693646	551136
6630	429564100
72541	259008800
209100	90076200
416150	16914680
693646	473426
6630	429850300
72541	258883800
209100	89908320
416150	16915180
693646	464942
6630	429501800
72541	258084100
209100	90110600
416150	16974150
693646	441448
6630	428986900
72541	258522000
209100	90090650
416150	17018310
693646	434240
6630	428876000
72541	258830400
209100	89906340
416150	16914710
693646	545246
6630	428892200
72541	258789600
209100	90073820
416150	17001270
693646	423665
6630	429803200
72541	258011700
209100	90244600
416150	16917480
693646	368140
6630	427986600
72541	258823600
209100	89824780
416150	16978640
693646	321538
6630	427713200
72541	258204300
209100	90110740
416150	16897260
693646	315928
6630	428561300
72541	258661100
209100	90209780
416150	16722750
693646	432676
6630	428823100
72541	258658300
209100	89969140
416150	16955620
693646	360231
6630	429127800
72541	259088500
209100	90213810
416150	16971240
693646	371155
6630	427869900
72541	259216400
209100	89663740
416150	16936170
693646	477964
6630	429228800
72541	259123100
209100	90160020
416150	16875880
693646	461456
6630	428941300
72541	258669800
209100	90237890
416150	16924520
693646	438456
6630	427865900
72541	258319800
209100	90185710
416150	16990430
693646	488605
6630	428672600
72541	259516000
209100	90116490
416150	16932170
693646	323350
6630	429893900
72541	258634800
209100	90081600
416150	17062810
693646	419535
6630	427853800
72541	259028500
209100	90078070
416150	16948390
693646	364925
6630	429170100
72541	259249900
209100	90341670
416150	16917640
693646	348949
6630	427151900
72541	259109200
209100	90406860
416150	16935160
693646	367423
6630	428900700
72541	258404300
209100	90303300
416150	17036490
693646	239399
6630	428152700
72541	259318000
209100	90295490
416150	17023280
693646	418703
6630	427417800
72541	258958800
209100	89764660
416150	16834810
693646	476729
6630	426732000
72541	259271900
209100	89986430
416150	16817580
693646	298969
6630	428378800
72541	258872600
209100	89772910
416150	16785920
693646	248880
6630	427610800
72541	257468500
209100	90152960
416150	16978290
693646	347908
6630	427910000
72541	257003900
209100	89944400
416150	16791930
693646	360492
6630	428505900
72541	257931800
209100	90153520
416150	16957410
693646	265716
6630	426724500
72541	257683500
209100	89758910
416150	16939200
693646	326528
6630	427870100
72541	258218600
209100	89919940
416150	16982800
693646	248791
6630	427384800
72541	258996100
209100	89828390
416150	16868990
693646	325957
6630	429956800
72541	258370900
209100	89981950
416150	16933770
693646	368955
6630	426232200
72541	259081100
209100	89725910
416150	16921130
693646	402787
6630	426923100
72541	258413100
209100	90150150
416150	16756990
693646	195893
6630	426351700
72541	258017900
209100	89816340
416150	16716800
693646	355697
6630	427775600
72541	257994400
209100	89714070
416150	16803360
693646	350258
6630	426801300
72541	258477600
209100	89977850
416150	16832060
693646	185002
6630	427851300
72541	258560500
209100	89864890
416150	16848670
693646	445526
6630	426983400
72541	258354100
209100	89821110
416150	16825100
693646	255099
6630	426938200
72541	258386200
209100	90001220
416150	16832830
693646	287056
6630	426423600
72541	257100000
209100	89442400
416150	16770480
693646	243271
6630	427391600
72541	259071200
209100	89871720
416150	16773140
693646	314905
6630	428050200
72541	258255100
209100	90289680
416150	16921720
693646	354215
6630	426610700
72541	257595400
209100	89902380
416150	16801360
693646	334068
6630	426359200
72541	258901400
209100	90248300
416150	16584560
693646	296263
6630	427793200
72541	257870600
209100	89852020
416150	16823860
693646	207014
6630	427691600
72541	257819200
209100	89897010
416150	16705870
693646	253768
6630	427245800
72541	258852400
