#	X(I)	Y(X)	Y'(X)	Y1(X)	Y1'(X)	
Model	ARR_DATA(I)	Integral(3.597,3.436)		Integral(3.436,3.243)		
1	6629.973	13363.450	0.000	52002.220	0.000	
2	39174.120	13301.847	0.000	39268.212	0.000	
3	71696.396	12772.218	0.000	30438.982	0.000	
4	104251.527	12221.019	0.000	23661.248	0.000	
5	136793.319	11786.274	0.000	18468.558	0.000	
6	169338.545	11336.094	0.000	14355.366	0.000	
7	201961.643	10883.893	0.000	11220.306	0.000	
8	234414.284	10450.921	0.000	8778.472	0.000	
9	267013.354	10089.952	0.000	6914.051	0.000	
10	299673.230	9709.216	0.000	5474.656	0.000	
11	332047.901	9335.690	0.000	4339.759	0.000	
12	364946.790	9010.512	0.000	3452.397	0.000	
13	397422.676	8680.395	0.000	2787.768	0.000	
14	430049.501	8381.225	0.000	2256.333	0.000	
15	462684.270	8094.922	0.000	1825.777	0.000	
16	495189.284	7789.550	0.000	1509.556	0.000	
17	527432.139	7519.270	0.000	1262.561	0.000	
18	560222.948	7251.628	0.000	1055.549	0.000	
19	592555.250	7027.475	0.000	890.361	0.000	
20	625299.178	6753.191	0.000	775.975	0.000	
21	657907.173	6519.990	0.000	670.999	0.000	
22	690302.733	6298.410	0.000	592.410	0.000	
23	722944.172	6082.657	0.000	543.586	0.000	
24	755795.004	5870.622	0.000	468.130	0.000	
25	788263.141	5668.691	0.000	432.003	0.000	
26	820846.518	5461.814	0.000	395.637	0.000	
27	853511.005	5282.566	0.000	378.473	0.000	
28	885633.520	5094.965	0.000	362.243	0.000	
29	918349.399	4918.692	0.000	338.436	0.000	
30	951047.722	4750.091	0.000	310.243	0.000	
31	983696.712	4574.689	0.000	294.960	0.000	
32	1016265.181	4415.983	0.000	273.626	0.000	
33	1048722.530	4272.331	0.000	259.366	0.000	
34	1081038.747	4120.732	0.000	255.816	0.000	
35	1113845.346	3966.078	0.000	245.737	0.000	
36	1146471.583	3815.478	0.000	249.308	0.000	
37	1178888.622	3694.134	0.000	246.377	0.000	
38	1211757.598	3578.638	0.000	222.980	0.000	
39	1244379.716	3451.110	0.000	217.744	0.000	
40	1276727.317	3333.067	0.000	201.967	0.000	
41	1309489.978	3215.216	0.000	205.955	0.000	
42	1341942.031	3097.119	0.000	197.223	0.000	
43	1374791.294	2982.920	0.000	201.320	0.000	
44	1407294.640	2891.372	0.000	188.129	0.000	
45	1439426.179	2784.521	0.000	194.094	0.000	
46	1471920.405	2687.072	0.000	184.066	0.000	
47	1504777.317	2588.412	0.000	171.053	0.000	
48	1537220.249	2501.805	0.000	168.483	0.000	
49	1570009.194	2409.905	0.000	158.831	0.000	
50	1602351.205	2322.468	0.000	156.703	0.000	
51	1635022.949	2247.076	0.000	163.770	0.000	
52	1667215.590	2169.737	0.000	146.887	0.000	
53	1700538.758	2095.703	0.000	144.234	0.000	
54	1732542.405	2023.785	0.000	127.282	0.000	
55	1765676.580	1946.380	0.000	127.592	0.000	
56	1798284.574	1878.223	0.000	123.064	0.000	
57	1830343.438	1816.922	0.000	122.758	0.000	
58	1862685.547	1754.154	0.000	115.525	0.000	
59	1895310.901	1689.560	0.000	119.585	0.000	
60	1928219.500	1627.039	0.000	119.109	0.000	
61	1960534.246	1574.047	0.000	107.211	0.000	
62	1993117.525	1519.923	0.000	100.167	0.000	
63	2025969.337	1464.544	0.000	96.163	0.000	
64	2058191.008	1411.823	0.000	101.797	0.000	
65	2090666.894	1357.249	0.000	102.041	0.000	
66	2123396.993	1316.845	0.000	97.246	0.000	
67	2156381.307	1261.128	0.000	87.617	0.000	
68	2188693.111	1221.492	0.000	88.367	0.000	
69	2221245.201	1179.090	0.000	88.180	0.000	
70	2254037.580	1142.504	0.000	83.826	0.000	
71	2286123.120	1103.260	0.000	78.233	0.000	
72	2319389.208	1055.828	0.000	70.174	0.000	
73	2351934.924	1019.308	0.000	75.617	0.000	
74	2383740.260	986.613	0.000	82.792	0.000	
75	2416732.813	951.867	0.000	74.769	0.000	
76	2448971.843	921.585	0.000	71.865	0.000	
77	2481424.484	885.965	0.000	65.875	0.000	
78	2514090.736	852.493	0.000	54.952	0.000	
79	2546970.599	825.830	0.000	55.312	0.000	
80	2580064.072	792.775	0.000	58.640	0.000	
81	2612358.712	767.646	0.000	52.238	0.000	
82	2644854.212	738.935	0.000	56.018	0.000	
83	2677550.574	711.715	0.000	63.771	0.000	
84	2709416.717	689.165	0.000	61.688	0.000	
85	2742508.523	661.977	0.000	46.918	0.000	
86	2774757.754	640.313	0.000	43.600	0.000	
87	2807195.487	617.378	0.000	50.848	0.000	
88	2839821.724	593.750	0.000	50.547	0.000	
89	2872636.464	576.107	0.000	42.914	0.000	
90	2905639.706	559.521	0.000	35.667	0.000	
91	2937757.808	537.202	0.000	40.274	0.000	
92	2970052.448	520.643	0.000	58.638	0.000	
93	3002523.626	502.123	0.000	46.314	0.000	
94	3035171.341	484.593	0.000	35.536	0.000	
95	3067995.594	465.326	0.000	40.577	0.000	
96	3100996.385	448.247	0.000	36.956	0.000	
97	3133064.959	432.090	0.000	34.014	0.000	
98	3166412.941	418.990	0.000	34.030	0.000	
99	3198817.132	404.910	0.000	31.438	0.000	
100	3231386.288	393.780	0.000	32.048	0.000	
101	3264120.409	376.997	0.000	39.324	0.000	
102	3295882.297	362.688	0.000	38.978	0.000	
103	3328940.659	352.555	0.000	31.053	0.000	
104	3361015.607	339.312	0.000	23.844	0.000	
105	3394398.210	327.384	0.000	33.904	0.000	
106	3426786.219	312.697	0.000	28.855	0.000	
107	3459328.012	307.414	0.000	31.768	0.000	
108	3492023.588	309.066	0.000	33.190	0.000	
109	3523697.110	289.026	0.000	25.150	0.000	
110	3556694.762	308.716	0.000	60.157	0.000	
111	3589846.199	265.981	0.000	25.367	0.000	
112	3621959.299	267.259	0.000	25.164	0.000	
113	3654215.395	247.552	0.000	16.879	0.000	
114	3686614.486	237.723	0.000	17.887	0.000	
115	3719156.573	232.248	0.000	22.796	0.000	
116	3751841.655	264.218	0.000	61.538	0.000	
117	3784669.734	222.928	0.000	31.956	0.000	
118	3817640.807	218.156	0.000	33.220	0.000	
119	3849525.880	201.540	0.000	22.448	0.000	
120	3882777.648	197.501	0.000	23.633	0.000	
121	3914933.020	192.665	0.000	22.976	0.000	
122	3947220.990	186.452	0.000	32.315	0.000	
123	3979641.560	176.277	0.000	31.209	0.000	
124	4012194.730	173.369	0.000	31.084	0.000	
125	4044880.499	185.318	0.000	41.277	0.000	
126	4077698.868	197.127	0.000	64.490	0.000	
127	4110649.836	166.603	0.000	31.790	0.000	
128	4143733.403	151.498	0.000	18.777	0.000	
