#	X(I)	Y(X)	Y'(X)	
Model	ARR_DATA(I)	Integral(1.553,1.340)		
1	1022.157	7221.177	0.000	
2	1445.606	7209.284	0.000	
3	1940.091	7215.480	0.000	
4	2509.649	7239.453	0.000	
5	3152.410	7223.255	0.000	
6	3865.316	7226.739	0.000	
7	4654.186	7217.059	0.000	
8	5516.260	7222.795	0.000	
9	6447.587	7219.262	0.000	
10	7455.770	7222.851	0.000	
11	8537.156	7229.419	0.000	
12	9686.904	7230.763	0.000	
13	10914.400	7207.821	0.000	
14	12215.099	7197.841	0.000	
15	13583.268	7196.868	0.000	
16	15030.076	7193.005	0.000	
17	16550.210	7182.195	0.000	
18	18136.806	7177.159	0.000	
19	19802.731	7175.864	0.000	
20	21542.192	7160.660	0.000	
21	23347.206	7159.401	0.000	
22	25232.414	7161.123	0.000	
23	27191.202	7149.730	0.000	
24	29214.635	7128.735	0.000	
25	31319.549	7123.192	0.000	
26	33497.242	7110.592	0.000	
27	35739.092	7123.014	0.000	
28	38063.334	7109.573	0.000	
29	40460.310	7083.297	0.000	
30	42920.578	7088.720	0.000	
31	45464.147	7068.257	0.000	
32	48080.930	7060.529	0.000	
33	50759.631	7048.211	0.000	
34	53521.989	7036.784	0.000	
35	56358.099	7039.783	0.000	
36	59255.218	7015.820	0.000	
37	62236.859	7014.961	0.000	
38	65292.296	7003.316	0.000	
39	68407.834	6987.236	0.000	
40	71609.397	6975.577	0.000	
41	74883.523	6963.714	0.000	
42	78217.478	6942.727	0.000	
43	81638.369	6939.717	0.000	
44	85131.778	6926.748	0.000	
45	88684.151	6908.412	0.000	
46	92324.369	6902.217	0.000	
47	96037.802	6884.573	0.000	
48	99808.608	6868.873	0.000	
49	103667.398	6850.456	0.000	
50	107600.158	6838.301	0.000	
51	111589.382	6821.413	0.000	
52	115667.456	6805.541	0.000	
53	119819.542	6792.725	0.000	
54	124027.184	6776.334	0.000	
55	128325.397	6755.536	0.000	
56	132695.956	6747.735	0.000	
57	137122.016	6729.969	0.000	
58	141639.556	6718.968	0.000	
59	146229.398	6702.284	0.000	
60	150873.876	6686.000	0.000	
61	155610.743	6677.610	0.000	
62	160420.825	6661.827	0.000	
63	165283.736	6640.717	0.000	
64	170238.959	6624.806	0.000	
65	175268.368	6603.833	0.000	
66	180369.978	6588.325	0.000	
67	185524.204	6569.268	0.000	
68	190772.940	6551.321	0.000	
69	196094.890	6535.086	0.000	
70	201467.549	6521.095	0.000	
71	206934.540	6494.530	0.000	
72	212475.818	6474.087	0.000	
73	218066.895	6454.268	0.000	
74	223753.169	6435.306	0.000	
75	229513.774	6418.131	0.000	
76	235323.269	6401.742	0.000	
77	241230.000	6381.022	0.000	
78	247208.759	6367.514	0.000	
79	253236.672	6344.189	0.000	
80	259362.730	6333.199	0.000	
81	265560.772	6310.579	0.000	
82	271807.104	6301.577	0.000	
83	278152.489	6276.002	0.000	
84	284571.089	6253.668	0.000	
85	291035.852	6239.736	0.000	
86	297599.276	6220.952	0.000	
87	304237.203	6205.466	0.000	
88	310920.385	6183.109	0.000	
89	317703.093	6164.087	0.000	
90	324560.346	6137.686	0.000	
91	331461.946	6120.480	0.000	
92	338465.327	6100.958	0.000	
93	345540.518	6079.484	0.000	
94	352660.537	6061.137	0.000	
95	359883.244	6035.830	0.000	
96	367177.719	6019.559	0.000	
97	374516.155	5989.644	0.000	
98	381958.190	5971.818	0.000	
99	389473.439	5950.359	0.000	
100	397030.308	5935.699	0.000	
101	404690.164	5911.637	0.000	
102	412424.740	5893.437	0.000	
103	420200.027	5877.243	0.000	
104	428079.167	5853.495	0.000	
105	436033.070	5827.481	0.000	
106	444026.776	5805.721	0.000	
107	452126.805	5791.066	0.000	
108	460298.429	5770.901	0.000	
109	468510.553	5742.436	0.000	
110	476829.909	5721.669	0.000	
111	485220.817	5700.161	0.000	
112	493651.359	5680.576	0.000	
113	502190.042	5652.492	0.000	
114	510801.940	5633.565	0.000	
115	519450.914	5609.825	0.000	
116	528207.204	5591.760	0.000	
117	537038.429	5565.845	0.000	
118	545905.821	5541.781	0.000	
119	554881.394	5518.775	0.000	
120	563931.946	5496.574	0.000	
121	573017.756	5485.213	0.000	
122	582214.435	5460.094	0.000	
123	591482.492	5428.688	0.000	
124	600786.721	5411.658	0.000	
125	610202.726	5379.683	0.000	
126	619690.067	5358.761	0.000	
127	629212.714	5344.015	0.000	
128	638848.046	5321.693	0.000	
