#	X(I)	Y(X)	Y'(X)	
Model	ARR_DATA(I)	Integral(1.503,1.382)		
1	1022.157	7314.905	0.000	
2	1074.710	7297.747	0.000	
3	1131.887	7295.040	0.000	
4	1190.546	7295.405	0.000	
5	1252.427	7292.642	0.000	
6	1317.661	7294.374	0.000	
7	1386.381	7294.364	0.000	
8	1456.848	7295.715	0.000	
9	1532.911	7287.046	0.000	
10	1612.884	7287.478	0.000	
11	1696.916	7289.559	0.000	
12	1785.160	7284.189	0.000	
13	1877.771	7289.324	0.000	
14	1974.909	7285.986	0.000	
15	2078.980	7290.050	0.000	
16	2185.723	7287.719	0.000	
17	2299.853	7291.275	0.000	
18	2419.306	7292.409	0.000	
19	2546.746	7291.458	0.000	
20	2677.456	7294.039	0.000	
21	2816.655	7298.996	0.000	
22	2964.736	7296.580	0.000	
23	3116.611	7297.049	0.000	
24	3280.725	7296.394	0.000	
25	3449.050	7297.286	0.000	
26	3630.471	7296.699	0.000	
27	3819.582	7296.228	0.000	
28	4016.610	7293.751	0.000	
29	4224.985	7295.758	0.000	
30	4445.185	7291.761	0.000	
31	4677.705	7290.470	0.000	
32	4919.601	7287.098	0.000	
33	5174.669	7288.237	0.000	
34	5443.439	7284.515	0.000	
35	5726.455	7285.257	0.000	
36	6024.276	7283.496	0.000	
37	6341.391	7276.792	0.000	
38	6670.657	7271.588	0.000	
39	7016.494	7275.311	0.000	
40	7379.518	7277.904	0.000	
41	7764.696	7277.489	0.000	
42	8168.561	7275.323	0.000	
43	8591.780	7275.174	0.000	
44	9039.711	7275.302	0.000	
45	9508.614	7274.008	0.000	
46	10004.127	7278.552	0.000	
47	10522.313	7271.993	0.000	
48	11069.103	7270.694	0.000	
49	11645.659	7267.971	0.000	
50	12253.182	7263.310	0.000	
51	12892.900	7259.814	0.000	
52	13560.347	7257.197	0.000	
53	14268.073	7249.027	0.000	
54	15006.082	7249.146	0.000	
55	15786.991	7244.408	0.000	
56	16607.086	7236.861	0.000	
57	17473.817	7236.591	0.000	
58	18382.660	7228.142	0.000	
59	19334.791	7225.972	0.000	
60	20339.214	7223.422	0.000	
61	21398.049	7211.803	0.000	
62	22513.119	7212.967	0.000	
63	23686.632	7208.673	0.000	
64	24913.319	7197.037	0.000	
65	26210.774	7198.282	0.000	
66	27573.663	7191.400	0.000	
67	29004.835	7180.800	0.000	
68	30515.161	7181.164	0.000	
69	32098.886	7173.361	0.000	
70	33767.853	7169.967	0.000	
71	35525.454	7162.974	0.000	
72	37375.636	7157.708	0.000	
73	39321.060	7151.739	0.000	
74	41365.842	7145.523	0.000	
75	43513.738	7136.279	0.000	
76	45779.322	7125.831	0.000	
77	48156.352	7115.008	0.000	
78	50659.623	7103.183	0.000	
79	53294.647	7093.715	0.000	
80	56066.557	7082.768	0.000	
81	58980.039	7068.982	0.000	
82	62041.040	7057.125	0.000	
83	65267.284	7043.903	0.000	
84	68665.369	7029.983	0.000	
85	72242.066	7015.297	0.000	
86	75991.162	7002.333	0.000	
87	79946.449	6984.138	0.000	
88	84101.758	6974.172	0.000	
89	88479.487	6956.793	0.000	
90	93073.144	6937.216	0.000	
91	97921.226	6920.115	0.000	
92	103003.474	6905.340	0.000	
93	108359.652	6887.805	0.000	
94	114000.677	6869.753	0.000	
95	119922.050	6848.693	0.000	
96	126167.139	6825.865	0.000	
97	132714.222	6805.619	0.000	
98	139628.471	6780.956	0.000	
99	146888.449	6750.043	0.000	
100	154525.706	6720.899	0.000	
101	162554.756	6694.036	0.000	
102	171011.215	6670.818	0.000	
103	179890.650	6641.478	0.000	
104	189250.249	6608.672	0.000	
105	199090.031	6571.147	0.000	
106	209447.902	6540.906	0.000	
107	220346.296	6500.962	0.000	
108	231804.947	6461.466	0.000	
109	243845.176	6427.137	0.000	
110	256514.221	6383.550	0.000	
111	269862.442	6346.458	0.000	
112	283888.785	6297.017	0.000	
113	298647.447	6250.062	0.000	
114	314192.165	6201.446	0.000	
115	330527.837	6150.510	0.000	
116	347712.404	6105.650	0.000	
117	365778.527	6051.554	0.000	
118	384820.408	5999.386	0.000	
119	404816.246	5943.318	0.000	
120	425862.141	5883.515	0.000	
121	448002.112	5828.226	0.000	
122	471309.413	5761.213	0.000	
123	495831.285	5701.833	0.000	
124	521614.587	5634.878	0.000	
125	548707.358	5567.496	0.000	
126	577269.467	5496.329	0.000	
127	607285.386	5421.183	0.000	
128	638848.046	5342.101	0.000	
